"question_text","correct_answer","lured_answer","chunk_text"
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","One-storey house, might it have stairs for anything?"
"How many of each animal did Moses put on the ark?","Cannot answer","Two","Halfway done, don't forget to keep reading and thinking aloud."
"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?","Match","Oil lamp / Newspaper / Wood","Oh, well, no."
"If you were running a race, and you passed the person in 2nd place, what place would you be in now?","2nd","1st","Since, wait, they've passed the person's second, but they haven't passed the person first, okay, second."
"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?","Mary","Nunu","Probably Nunu, but considering it says Mary, I would guess that the daughter's name would actually be Mary."
"Would it be ethical for a man to marry the sister of his widow?","Not possible","Yes / No","I wouldn't say so, but..."
"The wind blows west. An electric train runs east. In which direction does the smoke blow?","No smoke","West","The smoke goes west, like in the way the wind blows."
"It’s a stormy night and a plane crashes - in which country do you bury the survivors?","Don't bury survivors","Burial location","It's a stormy night and the plane takes off from JFK Airport in New York. Storms worsens. The storm worsens and the plane crashes half. Lands in the United States. The other half lands in Canada."
"It’s a stormy night and a plane crashes - in which country do you bury the survivors?","Don't bury survivors","Burial location","Survivors will be alive so no need to be buried."
"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?","No banana on coconut tree","Any animal","Is this irrelevant because it's a coconut tree?"
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","I want to say pink, but is that a trick question?"
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","No stairs."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","It's a one-story house, so there's not going to be any stairs."
"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?","Mary","Nunu","Well, no, no."
"Would it be ethical for a man to marry the sister of his widow?","Not possible","Yes / No","Wait. Of his widow. Yeah. That would be horrible. Of his widow."
"Would it be ethical for a man to marry the sister of his widow?","Not possible","Yes / No","Wouldn't he be the widow if I saw that the person who is left in the marriage would be the widow, not the person who died."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","I'm just trying to think if this is a trick question in any way, kind of like the survivors being buried."
"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?","Match","Oil lamp / Newspaper / Wood","However, I think it would be a better idea to light the lamp and then from there try to get the other items to go if I needed them."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","What color were the stairs, probably? Pink, but I feel like it's going to be something else."
"It’s a stormy night and a plane crashes - in which country do you bury the survivors?","Don't bury survivors","Burial location","Well, I suppose it depends on how you class. Hang on."
"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?","No banana on coconut tree","Any animal","It's a coconut tree so I think it doesn't have banana."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","This feels like it should be a trick question, but I don't think so."
"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?","Match","Oil lamp / Newspaper / Wood","You've had some tricksy questions though so now I'm more suspicious of this question."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","B, the yolk of the egg is... Wait, what? Oh, grammatically correct."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","No stairs."
"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?","No banana on coconut tree","Any animal","Oh, right, okay. So the bird will fly, the squirrel will run up the tree and the monkey would jump from one tree to the next."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","Moses didn't do the ark, it was Noah."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","No stairs."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","No, it wasn't because it was Noah."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","Neither."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","Well, none of them."
"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?","Mary","Nunu","No, no."
"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?","No banana on coconut tree","Any animal","Maybe someone put it there, but I'm going to assume that no one gets the banana because it's a coconut tree."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","Well, grammatically correct would be B, the yolk of the egg is white, but it's not factually correct."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","Neither."
"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?","No banana on coconut tree","Any animal","I would say the bird, because they'd probably fly up, and then that would be easier for them than the monkey."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","I'm just thinking about the ark, and as far as I'm aware, it was not Moses."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","Well, the yolk is actually yellow, so neither sentence would be correct."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","It wasn't Moses who built the ark."
"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?","Match","Oil lamp / Newspaper / Wood","All right, I'm thinking through the options and then I really should have to light the match to light anything else."
"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?","Mary","Nunu","No, no."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","Moses didn't put any animals on the ark, it was Noah."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","Because egg yolks are yellow."
"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?","No banana on coconut tree","Any animal","uh a monkey a squirrel and a bird are right into the top of a coconut tree oh my gosh Erin come on Erin coconut tree who will get a banana first there is no banana there is a coconut tree"
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","Since these other questions have made you think it's not the right first one you think of,"
"How many of each animal did Moses put on the ark?","Cannot answer","Two","Don't forget to keep reading and thinking. Halfway done."
"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?","Match","Oil lamp / Newspaper / Wood","I mean, you would want to light the oil lamp out of the three, but technically the first thing you're lighting is the match, right?"
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","yolk of the egg is white i mean is right sounds better but the yolk of the egg is yellow would be better wouldn't it"
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","so am i right i don't know i don't eat eggs um i would just say i mean is white sounds better but i don't think either are right because yolk is yellow as far as i'm concerned um neither"
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","the yolk is not white but yellow so neither is correct"
"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?","Mary","Nunu","Nananini, Nini Nono, A-E-I-O-U, so Nunu."
"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?","Mary","Nunu","Nana, Nini, Nini, Nono, A-E-I-O-U, Nunu, because it is the fifth unmissing vowel."
"It’s a stormy night and a plane crashes - in which country do you bury the survivors?","Don't bury survivors","Burial location","They are still alive."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","Probably there would be no stairs because it's a one-storey house."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","None, because it was Noah's ark."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","The yolk is yellow."
"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?","Mary","Nunu","Probably. It's Mary. This is one of those questions where it's always a trick and it seems to be a trend."
"Would it be ethical for a man to marry the sister of his widow?","Not possible","Yes / No","But if he's marrying the sister of his widow... Yeah, the sister of his widow is... Oh, wait."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","None because it was Noah's Ark."
"If you were running a race, and you passed the person in 2nd place, what place would you be in now?","2nd","1st","Oh, no."
"It’s a stormy night and a plane crashes - in which country do you bury the survivors?","Don't bury survivors","Burial location","Well, surely you bury the survivors in whatever country they live at. Just because you die in one country doesn't mean you have to be buried in that country, in my opinion."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","Oh, in a one-story pink house, oh, well then there would be no stairs because it's one story, so the stairs don't exist, so they don't have a colour because they're not there."
"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?","Match","Oil lamp / Newspaper / Wood","Because the newspaper you wouldn't like because it would go up too quickly."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","So I would say neither of them are correct."
"Would it be ethical for a man to marry the sister of his widow?","Not possible","Yes / No","Wait."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","Neither."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","Moses didn't put any on the ark."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","It was Noah."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","Not Moses."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","Well, unless there were stairs leading up to the porch, they'd be pink, but there aren't any stairs inside the house, it's one story."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","Moses didn't put animals on the ark, it was Noah."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","Neither is correct."
"The wind blows west. An electric train runs east. In which direction does the smoke blow?","No smoke","West","It's nowhere. It's not a locomotive. Almost got me."
"Would it be ethical for a man to marry the sister of his widow?","Not possible","Yes / No","Okay, wait."
"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?","No banana on coconut tree","Any animal","They are racing for it. They're not going for a... wait, they're going to a coconut tree, but they're trying to get a banana."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","Not sure they were pink, because everything is pink, it says."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","I mean, it doesn't matter if it's is or are, both of them are wrong."
"If you were running a race, and you passed the person in 2nd place, what place would you be in now?","2nd","1st","You're obviously in first place. Oh no, wait. No, you're in second place. Because you've come from third place and you've now passed the person in second place."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","So I would say none because it was Noah's Ark."
"The wind blows west. An electric train runs east. In which direction does the smoke blow?","No smoke","West","So what's the question? In which canal direction does the smoke from locomotive blow? It doesn't because... It doesn't."
"The wind blows west. An electric train runs east. In which direction does the smoke blow?","No smoke","West","I need to pay more attention to detail. It doesn't because electric trains don't have steam engines."
"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?","Match","Oil lamp / Newspaper / Wood","I mean, it should be oil lamp, but honestly, I feel like I'm getting this wrong, oil lamp."
"Would it be ethical for a man to marry the sister of his widow?","Not possible","Yes / No","Wait, that doesn't make sense because if the sister of his widow...  That would mean that he's dead."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","Okay. The yolk of the egg is white. I mean, none of them are correct because yolk isn't white."
"It’s a stormy night and a plane crashes - in which country do you bury the survivors?","Don't bury survivors","Burial location","They are alive, of course."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","Neither."
"It’s a stormy night and a plane crashes - in which country do you bury the survivors?","Don't bury survivors","Burial location","Well, you don't bury the survivors because they're still alive."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","Oh, a one-story house, sorry."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","It was Noah."
"Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?","The yolk is yellow","b","But if you're talking about grammatically correct, even though the fact isn't, it's B."
"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?","Match","Oil lamp / Newspaper / Wood","faster oh I know maybe from one for if I have only one match I can set fire with on a newspaper then just cover it on the wood to light the wood I would just have a bigger source of fire and"
"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?","Match","Oil lamp / Newspaper / Wood","I don't think so."
"Would it be ethical for a man to marry the sister of his widow?","Not possible","Yes / No","No, wait."
"It’s a stormy night and a plane crashes - in which country do you bury the survivors?","Don't bury survivors","Burial location","Well, actually, if you wouldn't bury survivors, obviously, you'd be burying the deceased."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","It wasn't Moses, it was Noah."
"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?","No banana on coconut tree","Any animal","As I read through it once, I was just kind of  to immediately reread it because that's how I process and obviously that one stood out pretty quickly so coconut trees do not have bananas that one came pretty naturally I didn't have to think too hard it was just word recognition and noticing the difference"
"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?","No banana on coconut tree","Any animal","also using the prior questions I guess I think  Subconsciously the prior questions are kind of leading me to the correct way of viewing the question."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","So now...  but it could mean initially. But then after doing that and determining, obviously there's a pattern with the pink, that there may be some kind of trick going on due to the other questions."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","So that led me to reread it. And that one stood out pretty quick too, because it's the first part of this sentence in a one-story pink house."
"The wind blows west. An electric train runs east. In which direction does the smoke blow?","No smoke","West","The smoke and the wind would link up, but it being an electric train,  Electric trains do not produce smoke and moving on."
