,inference,reevaluation,assumption,evaluation,pattern matching,repetition,reflection,justification,analysis,correction,hypothesis,selection,elimination,association,assuming,hypothesizing,inferring,questioning,comparison,recognition,error detection,clarification,elaboration,abstraction,recall,revision,analogizing,reframing,monitoring,analogy,hesitation,conditioning,reiteration,generalization,uncertainty,associating,justifying,sequencing,pattern recognition,confirmation,rationalizing,rationalization,prioritization,hypothesis generation,pattern completion,analyzing,consideration,confusion,knowledge retrieval,analogical reasoning,rephrasing,rehearsal,evaluating,integration
analogizing,0.7518798,0.6787029,0.70442796,0.70012563,0.7163904,0.7031605,0.67040336,0.69147146,0.74168354,0.73289865,0.7019687,0.6445337,0.65776956,0.69991624,0.70991325,0.6613519,0.7276325,0.6285349,0.8040818,0.73699766,0.65114796,0.68035704,0.71089244,0.733407,0.69141304,0.6682378,1.0000001,0.7231456,0.6825712,0.91266143,0.5932818,0.69551694,0.7229879,0.76794016,0.63823026,0.7099126,0.72813517,0.71285856,0.7127713,0.64650756,0.7452445,0.745903,0.65999997,0.7186255,0.65112895,0.7516484,0.6986764,0.6458264,0.62972534,0.89965403,0.73888797,0.67171764,0.7153019,0.6952259
reframing,0.67613775,0.7390653,0.7081809,0.6626234,0.6943846,0.7334345,0.7605826,0.7129439,0.64319825,0.7261107,0.64979875,0.6715121,0.66703796,0.63389945,0.66063625,0.6645868,0.6939517,0.64556044,0.66798127,0.7488768,0.6432828,0.6857552,0.7280887,0.6913497,0.74472433,0.7568208,0.7231456,1.0,0.6712115,0.6793412,0.6700931,0.67442065,0.7656197,0.7023351,0.6584819,0.6462202,0.71418476,0.66599816,0.70545346,0.72396636,0.735847,0.72018784,0.67908573,0.655364,0.6520481,0.65874064,0.68726224,0.7096369,0.6647036,0.6930073,0.77586347,0.70330054,0.66386807,0.67386
monitoring,0.7424006,0.699338,0.7322844,0.7615509,0.7033831,0.69330597,0.7268995,0.68234676,0.769291,0.6771959,0.7276876,0.71548665,0.6741605,0.6802558,0.7198056,0.6823502,0.72783446,0.696519,0.697055,0.7386001,0.7725594,0.7055947,0.70754486,0.67691016,0.76233816,0.71288073,0.6825712,0.6712115,0.9999998,0.7002592,0.6761616,0.71505463,0.6717893,0.66018075,0.7085168,0.6914688,0.6519453,0.71607393,0.7357423,0.7244456,0.6886913,0.67775655,0.7182294,0.70148045,0.6715601,0.7938259,0.7099521,0.665467,0.6956456,0.66759187,0.65362877,0.7039449,0.7834705,0.70792234
analogy,0.8108648,0.6687656,0.7482993,0.7299634,0.74003446,0.7079671,0.6968999,0.73625004,0.7797718,0.73735625,0.77339697,0.69561577,0.71250594,0.73968375,0.7615027,0.6872591,0.7613046,0.66367763,0.85401344,0.7170405,0.6569153,0.7135693,0.7178899,0.73677886,0.6965282,0.66416216,0.91266143,0.6793412,0.7002592,1.0000001,0.65464574,0.7157006,0.7132551,0.72939724,0.68682027,0.7366982,0.75514984,0.71177334,0.71201146,0.67726576,0.73890877,0.7455324,0.6622054,0.7409165,0.65877837,0.7858329,0.70399946,0.699134,0.6770481,0.88418436,0.7308272,0.6733849,0.74288213,0.72188085
hesitation,0.70592284,0.72452164,0.7155005,0.7207278,0.6491276,0.699532,0.7501565,0.72684485,0.65521985,0.69727874,0.6574437,0.7348179,0.70688903,0.6387366,0.71071243,0.6807468,0.69137025,0.80081314,0.7009709,0.6770868,0.6411941,0.6838498,0.6817609,0.62466216,0.7112269,0.7216174,0.5932818,0.6700931,0.6761616,0.65464574,1.0000002,0.67882603,0.6922097,0.6160339,0.8182471,0.65019536,0.69803214,0.66171676,0.6534914,0.750769,0.6706705,0.66621333,0.7221198,0.62140584,0.6420237,0.66553843,0.779346,0.7742322,0.6235926,0.6441262,0.6483925,0.70215666,0.74218273,0.67757
conditioning,0.7117702,0.67657137,0.7094631,0.7408091,0.67939794,0.7428242,0.710698,0.7235456,0.710268,0.6975785,0.70098984,0.7079546,0.7247266,0.6910492,0.694583,0.6620445,0.7177064,0.6949023,0.7132002,0.7030839,0.6586076,0.7105646,0.68796825,0.7072723,0.72858435,0.6932138,0.69551694,0.67442065,0.71505463,0.7157006,0.67882603,1.0000002,0.69796073,0.6922337,0.65936637,0.6923077,0.71632,0.6899048,0.6832548,0.71283877,0.7375921,0.7352524,0.7059891,0.6812674,0.66899556,0.7219322,0.7258741,0.67799246,0.65439975,0.69646883,0.6755644,0.68693876,0.7461516,0.692005
reiteration,0.71633464,0.75869995,0.73240805,0.66172934,0.6483615,0.79213697,0.7108957,0.73787886,0.66744304,0.76412433,0.67036015,0.6800108,0.70143723,0.6605617,0.7086747,0.65768045,0.7002037,0.6559979,0.6910771,0.6957955,0.6289689,0.717224,0.72266376,0.70949554,0.74392253,0.7442422,0.7229879,0.7656197,0.6717893,0.7132551,0.6922097,0.69796073,1.0000004,0.7203141,0.6740226,0.65266466,0.7369563,0.7096704,0.6383612,0.75991464,0.7225722,0.73416245,0.718743,0.65525025,0.65592766,0.66188323,0.6922885,0.68807256,0.62829506,0.7212609,0.7981604,0.6831524,0.6736501,0.69279313
generalization,0.74396384,0.68116075,0.7230191,0.70468354,0.7184063,0.7023234,0.6697773,0.7003317,0.7090001,0.7018496,0.7019059,0.71732384,0.6695055,0.7003697,0.6941231,0.6443134,0.69143325,0.6218156,0.7037181,0.6966822,0.6730771,0.70988446,0.72031695,0.76182127,0.6862604,0.6976955,0.76794016,0.7023351,0.66018075,0.72939724,0.6160339,0.6922337,0.7203141,0.99999994,0.6729269,0.7060025,0.6891609,0.74064004,0.71911174,0.6512964,0.7682891,0.7894966,0.725076,0.7676984,0.6942401,0.70373565,0.69928205,0.68127716,0.6856263,0.73973364,0.71740454,0.64612913,0.69878983,0.7319621
uncertainty,0.77937126,0.7208725,0.8078281,0.7186756,0.66752505,0.6718474,0.6997671,0.6866472,0.7047251,0.68284607,0.7430568,0.7129767,0.67146754,0.66509837,0.8192655,0.7548203,0.75026464,0.78023577,0.68110275,0.6559867,0.66911244,0.69108975,0.6864987,0.6408329,0.683434,0.6990894,0.63823026,0.6584819,0.7085168,0.68682027,0.8182471,0.65936637,0.6740226,0.6729269,1.0,0.6348355,0.65248114,0.70072114,0.6748611,0.73686117,0.6955321,0.68941367,0.69538283,0.7231721,0.63660645,0.7212708,0.7630645,0.78449607,0.6660815,0.6932723,0.6587964,0.68963754,0.75925756,0.68854916
associating,0.7078835,0.6407888,0.6734085,0.6700709,0.73437226,0.68330455,0.68922997,0.6709497,0.68597466,0.6835035,0.68511844,0.72172445,0.69565016,0.88602483,0.66316754,0.654334,0.712759,0.6661065,0.7069792,0.7527049,0.6356067,0.69889957,0.689974,0.7030717,0.6946753,0.6497202,0.7099126,0.6462202,0.6914688,0.7366982,0.65019536,0.6923077,0.65266466,0.7060025,0.6348355,1.0,0.6785983,0.7029451,0.7247068,0.66472113,0.6589545,0.65523934,0.6714594,0.6554084,0.67584306,0.6969721,0.687377,0.6675372,0.6921971,0.6927328,0.6669986,0.6421817,0.6736196,0.8081761
justifying,0.7250131,0.70029575,0.6866667,0.7195773,0.65268296,0.71931636,0.72434163,0.9426035,0.70585185,0.6834943,0.6707932,0.6637079,0.680562,0.6607546,0.6677004,0.65255946,0.7259798,0.7047458,0.7046876,0.68814415,0.6296154,0.70021224,0.660262,0.7228071,0.6924018,0.6992801,0.72813517,0.71418476,0.6519453,0.75514984,0.69803214,0.71632,0.7369563,0.6891609,0.65248114,0.6785983,1.0,0.6710606,0.64847183,0.71278733,0.8204528,0.79835963,0.6652077,0.65836203,0.65648943,0.72368014,0.7371168,0.7034626,0.64335346,0.76881945,0.70227885,0.6383576,0.7367188,0.67459524
sequencing,0.7409534,0.6931956,0.7006212,0.67629373,0.77782,0.76242393,0.6679186,0.69555825,0.71705526,0.6896456,0.720714,0.75796056,0.70624536,0.67943716,0.6983838,0.678676,0.72406334,0.695037,0.6999158,0.7010469,0.6989409,0.7058832,0.70134723,0.75605553,0.7137518,0.72195,0.71285856,0.66599816,0.71607393,0.71177334,0.66171676,0.6899048,0.7096704,0.74064004,0.70072114,0.7029451,0.6710606,1.0,0.7526208,0.70396,0.7226437,0.71999586,0.7485231,0.73257977,0.77437174,0.7404176,0.7115712,0.6900536,0.71703935,0.71349674,0.7282361,0.7184267,0.6948447,0.7292556
pattern recognition,0.7359649,0.6470991,0.7257376,0.66873485,0.90010154,0.71156573,0.7315855,0.65199727,0.70937985,0.6941428,0.70587707,0.7088808,0.6756456,0.7138792,0.69654167,0.6716684,0.74589735,0.6517248,0.69694203,0.8236809,0.779144,0.68312496,0.6722785,0.69901276,0.7017631,0.68395436,0.7127713,0.70545346,0.7357423,0.71201146,0.6534914,0.6832548,0.6383612,0.71911174,0.6748611,0.7247068,0.64847183,0.7526208,1.0000005,0.6957014,0.68175614,0.6842122,0.647961,0.71304095,0.8282733,0.7284533,0.6626941,0.6940223,0.72505194,0.7165859,0.6528177,0.6885519,0.6757501,0.69612265
confirmation,0.7434691,0.7023886,0.7611579,0.7288104,0.67184573,0.7481984,0.75017434,0.75882816,0.68281525,0.7633123,0.7300159,0.72136027,0.73593736,0.6733761,0.7487033,0.7091837,0.7248845,0.7512536,0.6896943,0.76417875,0.704294,0.74568075,0.7186206,0.6733273,0.7453971,0.793882,0.64650756,0.72396636,0.7244456,0.67726576,0.750769,0.71283877,0.75991464,0.6512964,0.73686117,0.66472113,0.71278733,0.70396,0.6957014,1.0,0.68296456,0.6808628,0.6832522,0.66884446,0.69788635,0.7044635,0.7532441,0.7404822,0.67515725,0.6980808,0.67490995,0.6857124,0.7517776,0.7090261
rationalizing,0.71301544,0.74502087,0.70718145,0.7133542,0.67955965,0.6881068,0.6820061,0.81617874,0.7330197,0.67205775,0.73567605,0.6888543,0.67997384,0.6691569,0.6745213,0.7008306,0.7205899,0.6943141,0.6762919,0.6750115,0.6338856,0.6813109,0.693859,0.7426966,0.6748501,0.723326,0.7452445,0.735847,0.6886913,0.73890877,0.6706705,0.7375921,0.7225722,0.7682891,0.6955321,0.6589545,0.8204528,0.7226437,0.68175614,0.68296456,1.0,0.9862348,0.74054945,0.75201213,0.66030943,0.7592763,0.76244086,0.72619843,0.67885613,0.76602304,0.70525557,0.65089124,0.7268486,0.7058591
rationalization,0.7185928,0.7440481,0.71884537,0.70739865,0.6786314,0.694188,0.6726165,0.80828816,0.7302601,0.68338823,0.7367275,0.68785244,0.6837355,0.67368305,0.6790834,0.690071,0.70587504,0.67398244,0.6814537,0.68032306,0.64217,0.6883301,0.7023467,0.7450886,0.678594,0.7235227,0.745903,0.72018784,0.67775655,0.7455324,0.66621333,0.7352524,0.73416245,0.7894966,0.68941367,0.65523934,0.79835963,0.71999586,0.6842122,0.6808628,0.9862348,1.0000002,0.7462716,0.7591497,0.661189,0.74692774,0.7491932,0.7254598,0.6819893,0.76807725,0.7048409,0.6462155,0.7133719,0.71642536
prioritization,0.6795677,0.778234,0.6875047,0.7160843,0.6557863,0.6883219,0.6691089,0.6988377,0.7105832,0.690994,0.66876715,0.78858584,0.70712316,0.66459197,0.6782867,0.6531047,0.65929437,0.67353654,0.6994817,0.68055093,0.63795316,0.70218486,0.69759595,0.69369036,0.72509176,0.6919986,0.65999997,0.67908573,0.7182294,0.6622054,0.7221198,0.7059891,0.718743,0.725076,0.69538283,0.6714594,0.6652077,0.7485231,0.647961,0.6832522,0.74054945,0.7462716,1.0,0.6642638,0.65237296,0.71094847,0.7931266,0.7030975,0.65430456,0.661263,0.6833155,0.6613125,0.7218903,0.70327765
hypothesis generation,0.8379354,0.6640637,0.77159774,0.6901345,0.69951314,0.669389,0.66419005,0.67830807,0.73597723,0.66485244,0.8904651,0.69863886,0.66798294,0.6686533,0.7613956,0.7958049,0.8043939,0.6748252,0.680213,0.6571914,0.6740675,0.6794745,0.72444373,0.7006148,0.64454305,0.69336283,0.7186255,0.655364,0.70148045,0.7409165,0.62140584,0.6812674,0.65525025,0.7676984,0.7231721,0.6554084,0.65836203,0.73257977,0.71304095,0.66884446,0.75201213,0.7591497,0.6642638,1.0,0.66871846,0.7411661,0.68948454,0.67087805,0.7162247,0.7548682,0.66884947,0.6482694,0.70156866,0.6850256
pattern completion,0.67910683,0.6219915,0.6735062,0.6709803,0.8696319,0.72819865,0.7008857,0.65500224,0.6537322,0.6585969,0.65916693,0.6679146,0.6945142,0.6781118,0.64790213,0.61342716,0.67905253,0.6380476,0.65979093,0.65685314,0.70580465,0.66031104,0.67972964,0.7082964,0.66049796,0.70926374,0.65112895,0.6520481,0.6715601,0.65877837,0.6420237,0.66899556,0.65592766,0.6942401,0.63660645,0.67584306,0.65648943,0.77437174,0.8282733,0.69788635,0.66030943,0.661189,0.65237296,0.66871846,1.0000002,0.67204636,0.6363423,0.64391875,0.6636802,0.67715657,0.62845445,0.70833236,0.6776985,0.6827788
analyzing,0.812315,0.7380875,0.755,0.80103683,0.7144186,0.6859973,0.7393867,0.7317746,0.9596011,0.6777978,0.7431043,0.7318398,0.72742295,0.70111233,0.73739433,0.7018881,0.79379463,0.74376917,0.7554036,0.7066885,0.7178889,0.70655924,0.7351411,0.71619284,0.6735526,0.68932444,0.7516484,0.65874064,0.7938259,0.7858329,0.66553843,0.7219322,0.66188323,0.70373565,0.7212708,0.6969721,0.72368014,0.7404176,0.7284533,0.7044635,0.7592763,0.74692774,0.71094847,0.7411661,0.67204636,0.9999995,0.78534865,0.7193951,0.7066776,0.7524042,0.68508124,0.68435985,0.83657,0.716101
consideration,0.703147,0.81302536,0.727073,0.83850604,0.65576303,0.6885797,0.7606994,0.7895192,0.768284,0.7086046,0.71703404,0.80290604,0.73025405,0.6866281,0.7351352,0.6945744,0.6949927,0.75830203,0.7365859,0.74951655,0.6479831,0.7160611,0.7338934,0.708692,0.73085636,0.76060545,0.6986764,0.68726224,0.7099521,0.70399946,0.779346,0.7258741,0.6922885,0.69928205,0.7630645,0.687377,0.7371168,0.7115712,0.6626941,0.7532441,0.76244086,0.7491932,0.7931266,0.68948454,0.6363423,0.78534865,0.9999999,0.7112043,0.6468103,0.69715273,0.6893763,0.70866,0.84958076,0.743317
confusion,0.703662,0.6961045,0.7427911,0.6612864,0.66758335,0.6813911,0.7233991,0.73894316,0.68062997,0.7525589,0.69418156,0.6880392,0.6886788,0.6551293,0.7136504,0.68481976,0.6928061,0.81694424,0.6907387,0.7122222,0.6658181,0.8105315,0.67773193,0.69333464,0.7044756,0.70220745,0.6458264,0.7096369,0.665467,0.699134,0.7742322,0.67799246,0.68807256,0.68127716,0.78449607,0.6675372,0.7034626,0.6900536,0.6940223,0.7404822,0.72619843,0.7254598,0.7030975,0.67087805,0.64391875,0.7193951,0.7112043,0.99999994,0.6801441,0.7078848,0.69905454,0.6569259,0.679262,0.7082764
knowledge retrieval,0.73117745,0.639089,0.6807337,0.6776912,0.6910891,0.64820653,0.66802776,0.6808051,0.67772824,0.6631325,0.6902298,0.71508384,0.63934934,0.69234383,0.65343994,0.63444436,0.73583907,0.6649119,0.6623056,0.6905758,0.6909933,0.6975471,0.68902826,0.68729913,0.720839,0.68764395,0.62972534,0.6647036,0.6956456,0.6770481,0.6235926,0.65439975,0.62829506,0.6856263,0.6660815,0.6921971,0.64335346,0.71703935,0.72505194,0.67515725,0.67885613,0.6819893,0.65430456,0.7162247,0.6636802,0.7066776,0.6468103,0.6801441,1.0,0.68262947,0.66901934,0.62841076,0.677761,0.68548906
analogical reasoning,0.82294863,0.666534,0.7437036,0.6981497,0.70265603,0.6850878,0.6675448,0.75709945,0.73808646,0.72330344,0.7511855,0.6542059,0.6714286,0.7028993,0.74511653,0.6985318,0.777446,0.6826585,0.7514718,0.69684434,0.6628174,0.7220442,0.6961103,0.7329075,0.649111,0.6550523,0.89965403,0.6930073,0.66759187,0.88418436,0.6441262,0.69646883,0.7212609,0.73973364,0.6932723,0.6927328,0.76881945,0.71349674,0.7165859,0.6980808,0.76602304,0.76807725,0.661263,0.7548682,0.67715657,0.7524042,0.69715273,0.7078848,0.68262947,0.99999976,0.71199965,0.64574736,0.7206849,0.68361413
rephrasing,0.7119472,0.7327666,0.6950296,0.65915877,0.6480458,0.7655008,0.70701694,0.70621216,0.68052995,0.8030513,0.66220564,0.6746752,0.6653091,0.66167647,0.6737782,0.6310833,0.695135,0.63214535,0.70259464,0.7143219,0.6330175,0.71507,0.746041,0.68736964,0.73649746,0.75628066,0.73888797,0.77586347,0.65362877,0.7308272,0.6483925,0.6755644,0.7981604,0.71740454,0.6587964,0.6669986,0.70227885,0.7282361,0.6528177,0.67490995,0.70525557,0.7048409,0.6833155,0.66884947,0.62845445,0.68508124,0.6893763,0.69905454,0.66901934,0.71199965,1.0000001,0.67712414,0.6616824,0.66753256
rehearsal,0.68734753,0.6916758,0.69997096,0.6950947,0.7175094,0.7309525,0.70477545,0.663817,0.6762594,0.6903579,0.67037505,0.6838565,0.7002427,0.6447807,0.68177515,0.6509724,0.68216276,0.65181476,0.67272913,0.67395675,0.63632697,0.66186243,0.70513904,0.65297544,0.72300273,0.75864404,0.67171764,0.70330054,0.7039449,0.6733849,0.70215666,0.68693876,0.6831524,0.64612913,0.68963754,0.6421817,0.6383576,0.7184267,0.6885519,0.6857124,0.65089124,0.6462155,0.6613125,0.6482694,0.70833236,0.68435985,0.70866,0.6569259,0.62841076,0.64574736,0.67712414,1.0000001,0.69935524,0.6887708
evaluating,0.7547922,0.78460306,0.7184419,0.97568744,0.6811874,0.6933929,0.7429902,0.7589073,0.80159134,0.6607808,0.7122562,0.7601369,0.7333372,0.6787928,0.73628265,0.6763304,0.74063146,0.7642272,0.7831366,0.6950897,0.7269193,0.7001267,0.7353366,0.7040333,0.72144717,0.7375473,0.7153019,0.66386807,0.7834705,0.74288213,0.74218273,0.7461516,0.6736501,0.69878983,0.75925756,0.6736196,0.7367188,0.6948447,0.6757501,0.7517776,0.7268486,0.7133719,0.7218903,0.70156866,0.6776985,0.83657,0.84958076,0.679262,0.677761,0.7206849,0.6616824,0.69935524,1.0000002,0.7368352
integration,0.7247871,0.66701776,0.73720974,0.7262924,0.7000474,0.6720197,0.7219908,0.69517183,0.7194019,0.7138725,0.7152169,0.7420692,0.73905516,0.7797558,0.7133153,0.64711463,0.6848158,0.65791553,0.69906527,0.72348946,0.6935646,0.7173214,0.7266914,0.76257586,0.70957625,0.727715,0.6952259,0.67386,0.70792234,0.72188085,0.67757,0.692005,0.69279313,0.7319621,0.68854916,0.8081761,0.67459524,0.7292556,0.69612265,0.7090261,0.7058591,0.71642536,0.70327765,0.6850256,0.6827788,0.716101,0.743317,0.7082764,0.68548906,0.68361413,0.66753256,0.6887708,0.7368352,1.0000002
